DATE,Daily_Inscriptions,Total_Inscriptions,Ord_Size_Usage,Ord_vSize_Usage,Daily_fees,Total_fees
2023-10-18,7240,3.5441261e+07,1.4365462e+07,4.114818e+06,0.20127676999999958,2123.660175540008
2023-10-17,15544,3.5434021e+07,3.0875009e+07,8.845173e+06,0.23706977000000048,2123.458898770008
2023-10-16,12511,3.5418477e+07,9.453904e+06,3.277251e+06,0.12779528999999992,2123.2218290000083
2023-10-15,22120,3.5405966e+07,2.0434665e+07,6.817526e+06,0.17631790999999988,2123.0940337100083
2023-10-14,15783,3.5383846e+07,2.5055552e+07,7.527673e+06,0.26714176999999883,2122.9177158000084
2023-10-13,7620,3.5368063e+07,1.8497477e+07,5.19175e+06,0.39106854000000074,2122.6505740300086
2023-10-12,3960,3.5360443e+07,8.085431e+06,2.317033e+06,0.20339657999999997,2122.2595054900085
2023-10-11,7604,3.5356483e+07,7.956069e+06,2.553459e+06,0.15975101000000008,2122.0561089100083
2023-10-10,21223,3.5348879e+07,2.1302182e+07,6.993372e+06,0.20433137000000234,2121.8963579000083
2023-10-09,36418,3.5327656e+07,3.4857394e+07,1.1392696e+07,0.340458309999998,2121.692026530008
2023-10-08,32656,3.5291238e+07,3.5483376e+07,1.1345545e+07,0.3411260099999961,2121.351568220008
2023-10-07,9562,3.5258582e+07,1.268698e+07,3.938137e+06,0.16334611999999926,2121.010442210008
2023-10-06,26328,3.524902e+07,1.5360382e+07,5.929144e+06,0.28958394000001264,2120.847096090008
2023-10-05,38718,3.5222692e+07,2.2833505e+07,8.766218e+06,0.5771220300000057,2120.5575121500083
2023-10-04,16969,3.5183974e+07,4.2387329e+07,1.2050593e+07,0.6480238699999995,2119.9803901200085
2023-10-03,16773,3.5167005e+07,6.3448261e+07,1.7182172e+07,0.5832315299999984,2119.3323662500084
2023-10-02,52313,3.5150232e+07,6.9405216e+07,2.300571e+07,0.6835583899999393,2118.7491347200084
2023-10-01,87180,3.5097919e+07,7.3030798e+07,2.6223227e+07,0.9306901799999548,2118.0655763300083
2023-09-30,35950,3.5010739e+07,4.65136e+07,1.4468237e+07,0.7328960000000079,2117.1348861500082
2023-09-29,44746,3.4974789e+07,4.5555947e+07,1.4973889e+07,0.8508783299999976,2116.4019901500083
2023-09-28,100256,3.4930043e+07,6.0546705e+07,2.1895025e+07,1.4136452000001118,2115.5511118200084
2023-09-27,64132,3.4829787e+07,3.1594424e+07,1.2303296e+07,1.0222434099999949,2114.137466620008
2023-09-26,50105,3.4765655e+07,3.6327384e+07,1.3228536e+07,1.303406079999997,2113.115223210008
2023-09-25,31251,3.471555e+07,3.5158191e+07,1.1240451e+07,1.3350803399999895,2111.811817130008
2023-09-24,232104,3.4684299e+07,7.6602767e+07,3.5142433e+07,6.818145080000033,2110.476736790008
2023-09-23,337339,3.4452195e+07,1.01304458e+08,4.8275315e+07,11.736812760001394,2103.658591710008
2023-09-22,188968,3.4114856e+07,5.7180015e+07,2.7116925e+07,6.614542400000292,2091.9217789500062
2023-09-21,188343,3.3925888e+07,5.8281824e+07,2.7395985e+07,6.2342061899997505,2085.307236550006
2023-09-20,240756,3.3737545e+07,7.6133813e+07,3.604313e+07,7.9062950000003225,2079.073030360006
2023-09-19,241153,3.3496789e+07,7.6332377e+07,3.5968482e+07,8.456080369999798,2071.166735360006
