DATE,average_daily_fee
2023-10-18,7.189444157440048e-05
2023-10-17,6.608348549057436e-05
2023-10-16,6.851012352309324e-05
2023-10-15,4.5235295784822846e-05
2023-10-14,5.1333608815322664e-05
2023-10-13,7.914778093003016e-05
2023-10-12,9.27463128907861e-05
2023-10-11,8.163467203325814e-05
2023-10-10,6.0391198519610484e-05
2023-10-09,7.008541294139308e-05
2023-10-08,6.34985621597104e-05
2023-10-07,0.0001696649112513127
2023-10-06,0.00014252954511970533
2023-10-05,8.361430788262214e-05
2023-10-04,9.168626343805445e-05
2023-10-03,9.362990272448611e-05
2023-10-02,7.923334122458706e-05
2023-10-01,5.9053793819965075e-05
2023-09-30,7.82488489657831e-05
2023-09-29,8.890678313738394e-05
2023-09-28,7.655628120588494e-05
2023-09-27,9.40923470564686e-05
2023-09-26,8.924172575527323e-05
2023-09-25,0.00011676460363954703
2023-09-24,8.406189162724882e-05
2023-09-23,8.192190376054401e-05
2023-09-22,0.00010413773111241597
2023-09-21,0.00010971497566854022
2023-09-20,8.586156296950185e-05
2023-09-19,9.505521028089554e-05
2023-09-18,7.361638333241585e-05
2023-09-17,4.631263371617277e-05
2023-09-16,4.5016047772543365e-05
2023-09-15,4.635261581771483e-05
2023-09-14,5.36218492923652e-05
2023-09-13,6.07453316251878e-05
2023-09-12,6.711565057707894e-05
2023-09-11,7.12153684779132e-05
2023-09-10,8.428076992092831e-05
2023-09-09,5.445263240092245e-05
2023-09-08,8.643839273961556e-05
2023-09-07,5.86871903505761e-05
2023-09-06,6.233328805395333e-05
2023-09-05,5.2796502587141054e-05
2023-09-04,3.8862770692746656e-05
2023-09-03,3.181595447951595e-05
2023-09-02,4.309785012635603e-05
2023-09-01,6.233355368158298e-05
2023-08-31,6.067333484974912e-05
2023-08-30,4.711014990159344e-05
2023-08-29,4.22768514554242e-05
2023-08-28,5.122442288249399e-05
2023-08-27,3.257288229519615e-05
2023-08-26,3.233247103160559e-05
2023-08-25,4.2418164970179064e-05
2023-08-24,4.373900396090714e-05
2023-08-23,4.626272462915075e-05
2023-08-22,4.469713313548268e-05
2023-08-21,3.0133876314823482e-05
2023-08-20,2.446684025594803e-05
2023-08-19,3.212778943014273e-05
2023-08-18,5.1991636740411995e-05
2023-08-17,3.770692846932245e-05
2023-08-16,3.182148284110416e-05
2023-08-15,3.1322138139444256e-05
2023-08-14,3.199079336237804e-05
2023-08-13,2.712221060847515e-05
2023-08-12,3.853954799636535e-05
2023-08-11,4.632502098559564e-05
2023-08-10,6.877117467650114e-05
2023-08-09,5.345647395341905e-05
2023-08-08,8.790348695930273e-05
2023-08-07,5.3070741204210535e-05
2023-08-06,2.7846213017166715e-05
2023-08-05,4.215302937951792e-05
2023-08-04,7.069477320824072e-05
2023-08-03,4.882457346215415e-05
2023-08-02,5.3448204203004916e-05
2023-08-01,4.483093593454095e-05
2023-07-31,3.7381703360811366e-05
2023-07-30,2.6524372969744846e-05
2023-07-29,3.8155355231034255e-05
2023-07-28,4.531982650119588e-05
2023-07-27,5.045163023741285e-05
2023-07-26,4.15648479058888e-05
2023-07-25,3.86012299118444e-05
2023-07-24,4.991083196993061e-05
2023-07-23,4.5652920228582065e-05
2023-07-22,0.0001591416194978389
2023-07-21,7.081587799177316e-05
2023-07-20,5.682980424575502e-05
2023-07-19,3.782142882129916e-05
2023-07-18,3.276011956738321e-05
2023-07-17,4.018310863904938e-05
2023-07-16,2.592647222105685e-05
2023-07-15,3.451820842096517e-05
2023-07-14,5.378013373143849e-05
2023-07-13,5.230039235458074e-05
2023-07-12,4.033202201455151e-05
2023-07-11,3.921475457618062e-05
2023-07-10,3.203439856837241e-05
2023-07-09,2.218567154384036e-05
2023-07-08,2.569343409500312e-05
2023-07-07,3.462062230447608e-05
2023-07-06,5.022813564458327e-05
2023-07-05,4.3316964816504444e-05
2023-07-04,6.035634642250189e-05
2023-07-03,7.767941096692027e-05
2023-07-02,7.677732043753165e-05
2023-07-01,7.845199815587943e-05
2023-06-30,7.794915835011756e-05
2023-06-29,8.45711266040305e-05
2023-06-28,9.01796704278582e-05
2023-06-27,7.279890796535858e-05
2023-06-26,8.016469477373528e-05
2023-06-25,7.67691293704566e-05
2023-06-24,9.336498703785025e-05
2023-06-23,0.000107260388795749
2023-06-22,0.00011331916437311305
2023-06-21,0.00012081099688944971
2023-06-20,8.300464847056564e-05
2023-06-19,7.515966383865558e-05
2023-06-18,6.933091993507434e-05
2023-06-17,8.443696354776411e-05
2023-06-16,8.907616135822092e-05
2023-06-15,9.696124114506405e-05
2023-06-14,0.00012057396793665971
2023-06-13,9.07370343473435e-05
2023-06-12,0.00011469194067462369
2023-06-11,8.7948694091448e-05
2023-06-10,0.00013584453637281775
2023-06-09,0.00018925547155139503
2023-06-08,0.00017087170007321203
2023-06-07,0.00022500371830485902
2023-06-06,0.0001794582495801469
2023-06-05,0.00016144885008935014
2023-06-04,0.00010574111109279405
2023-06-03,0.00011588232437548014
2023-06-02,0.0001561457030016459
2023-06-01,0.0001970186640485876
2023-05-31,0.00016277873418742538
2023-05-30,0.00015500710144280622
2023-05-29,0.00012925218869248216
2023-05-28,0.00012610616190809762
2023-05-27,0.00013163974132429299
2023-05-26,0.0001837620521889765
2023-05-25,0.0001996371503388968
2023-05-24,0.0001599672495875754
2023-05-23,0.00013416108496356775
2023-05-22,0.00014214854893336733
2023-05-21,0.00014683979653737418
2023-05-20,0.00020105162539883447
2023-05-19,0.00022609474464279424
2023-05-18,0.00022424848050362308
2023-05-17,0.00015959050578108697
2023-05-16,0.0001995029578683064
2023-05-15,0.0001706255639567605
2023-05-14,0.00013997879743919125
2023-05-13,0.00018898960596900078
2023-05-12,0.00034064688297760786
2023-05-11,0.000355646286792216
2023-05-10,0.000505856641391273
2023-05-09,0.0007359153016267255
2023-05-08,0.0011048651342924231
2023-05-07,0.0006644683892459916
2023-05-06,0.00030281869501640147
2023-05-05,0.0003280447681616969
2023-05-04,0.00023105505172838276
2023-05-03,0.0002536915575037989
2023-05-02,0.000249375614125155
2023-05-01,0.00010152623358997194
2023-04-30,8.380854804438382e-05
2023-04-29,8.812536996611104e-05
2023-04-28,9.486977626664062e-05
2023-04-27,9.969783863914036e-05
2023-04-26,7.581745961265441e-05
2023-04-25,7.223573145902348e-05
2023-04-24,5.7084285940367586e-05
2023-04-23,3.159928708753206e-05
2023-04-22,4.62022658082278e-05
2023-04-21,6.839570121345377e-05
2023-04-20,7.159144083078599e-05
2023-04-19,6.928868372210231e-05
2023-04-18,6.515858717146353e-05
2023-04-17,6.590011239970553e-05
2023-04-16,6.866183542287363e-05
