DATE,MIME_types,Inscriptions,Ord_Daily_fees,Ord_Size,Ord_vSize
2023-10-19,audio,3,3.384e-05,948,423
2023-10-19,application,2,5.622e-05,1188,439
2023-10-19,image,2813,0.17967216999999994,2.5772061e+07,6.644017e+06
2023-10-19,text,8698,0.05552250999999994,2.776537e+06,1.354556e+06
2023-10-19,other,2,0.00066756,31061,7954
2023-10-19,model,5,6.435e-05,1615,715
2023-10-18,audio,1,0.00154395,205482,51465
2023-10-18,application,3,0.00111574,39456,10076
2023-10-18,video,10,0.0002907,3270,1530
2023-10-18,image,1634,0.22138808000000004,1.9283006e+07,4.944028e+06
2023-10-18,model,1,1.001e-05,323,143
2023-10-18,text,10987,0.06483636999999967,3.543723e+06,1.658308e+06
2023-10-17,application,3,0.0014964899999999998,170809,42929
2023-10-17,other,1,0.00059896,59611,14974
2023-10-17,model,283,0.002193250000000004,94805,43865
2023-10-17,audio,1,0.0003954,39257,9885
2023-10-17,text,14105,0.09819212999999997,6.716653e+06,2.701526e+06
2023-10-17,image,1145,0.1339776300000001,2.3786686e+07,6.029456e+06
2023-10-17,video,6,0.00021591,7188,2538
2023-10-16,other,3,0.00137984,155398,39101
2023-10-16,image,825,0.055543899999999986,5.642173e+06,1.480249e+06
2023-10-16,application,1,6.08e-06,323,152
2023-10-16,model,61,0.0005766,20435,9455
2023-10-16,text,11621,0.07028887000000077,3.635575e+06,1.748294e+06
2023-10-15,text,19953,0.08467897999999975,7.066751e+06,3.277974e+06
2023-10-15,model,3,2.3250000000000003e-05,1005,465
2023-10-15,other,5,0.0019112,289275,72667
2023-10-15,image,2096,0.08943319000000001,1.304824e+07,3.454628e+06
2023-10-15,application,62,0.00019842,19960,9363
2023-10-15,video,1,7.287e-05,9434,2429
2023-10-14,application,5,0.00013001,3680,1267
2023-10-14,image,1479,0.19368372000000003,1.9431657e+07,4.968588e+06
2023-10-14,text,14276,0.06946921999999991,5.057667e+06,2.415182e+06
2023-10-14,other,23,0.00385882,562548,142636
2023-10-13,image,1346,0.32849849,1.6120486e+07,4.133448e+06
2023-10-13,application,7,0.00059486,19583,5461
2023-10-13,model,11,0.00027125000000000006,3685,1705
2023-10-13,text,6255,0.06169543999999989,2.352523e+06,1.050711e+06
2023-10-13,video,1,8.5e-06,1200,425
2023-10-12,image,676,0.15795536000000002,6.933937e+06,1.786264e+06
2023-10-12,text,3279,0.045266059999999976,1.147935e+06,529525
2023-10-12,application,5,0.00017516,3559,1244
2023-10-11,text,7147,0.07161815999999999,2.352569e+06,1.119109e+06
2023-10-11,application,3,0.00960343,295014,73966
2023-10-11,video,3,2.55e-05,3600,1275
2023-10-11,other,2,0.000371,38690,9822
2023-10-11,image,426,0.07773966999999997,5.258611e+06,1.345842e+06
2023-10-11,model,23,0.0003932500000000001,7585,3445
2023-10-10,video,17,0.00210856,390938,99811
2023-10-10,model,55,0.000583,18305,8405
2023-10-10,text,19696,0.08842936000000037,6.285168e+06,3.107502e+06
2023-10-10,other,1,0.00030524,30269,7631
2023-10-10,application,9,0.0005515899999999999,75946,19624
